  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   89  -0.107E-01  0.321E+00  0.187E-01 -0.318E+00 -0.938E-09  0.107E-06  0.709E-04  0.374E-04
   90  -0.101E-01  0.303E+00  0.176E-01 -0.300E+00 -0.938E-09  0.895E-07  0.633E-04  0.334E-04
   91  -0.958E-02  0.286E+00  0.166E-01 -0.283E+00 -0.938E-09  0.750E-07  0.565E-04  0.298E-04
   92  -0.907E-02  0.270E+00  0.156E-01 -0.266E+00 -0.938E-09  0.628E-07  0.504E-04  0.266E-04
   93  -0.857E-02  0.255E+00  0.147E-01 -0.251E+00 -0.938E-09  0.526E-07  0.449E-04  0.238E-04
   94  -0.811E-02  0.240E+00  0.138E-01 -0.236E+00 -0.938E-09  0.441E-07  0.400E-04  0.212E-04
   95  -0.766E-02  0.227E+00  0.130E-01 -0.223E+00 -0.938E-09  0.370E-07  0.356E-04  0.189E-04
   96  -0.724E-02  0.214E+00  0.122E-01 -0.210E+00 -0.938E-09  0.310E-07  0.317E-04  0.168E-04
   97  -0.684E-02  0.202E+00  0.115E-01 -0.197E+00 -0.938E-09  0.260E-07  0.282E-04  0.150E-04
   98  -0.646E-02  0.190E+00  0.108E-01 -0.186E+00 -0.938E-09  0.217E-07  0.250E-04  0.133E-04
   99  -0.610E-02  0.179E+00  0.102E-01 -0.175E+00 -0.938E-09  0.182E-07  0.222E-04  0.118E-04
  100  -0.575E-02  0.169E+00  0.957E-02 -0.165E+00 -0.938E-09  0.153E-07  0.198E-04  0.105E-04
  101  -0.543E-02  0.159E+00  0.899E-02 -0.155E+00 -0.938E-09  0.128E-07  0.175E-04  0.934E-05
  102  -0.512E-02  0.150E+00  0.845E-02 -0.146E+00 -0.938E-09  0.107E-07  0.156E-04  0.829E-05
  103  -0.483E-02  0.141E+00  0.794E-02 -0.137E+00 -0.938E-09  0.898E-08  0.138E-04  0.736E-05
  104  -0.455E-02  0.133E+00  0.746E-02 -0.129E+00 -0.938E-09  0.753E-08  0.122E-04  0.653E-05
  105  -0.429E-02  0.125E+00  0.701E-02 -0.121E+00 -0.938E-09  0.631E-08  0.109E-04  0.579E-05
  106  -0.405E-02  0.118E+00  0.659E-02 -0.114E+00 -0.938E-09  0.528E-08  0.961E-05  0.514E-05
  107  -0.381E-02  0.111E+00  0.619E-02 -0.107E+00 -0.938E-09  0.443E-08  0.852E-05  0.455E-05
  108  -0.359E-02  0.104E+00  0.581E-02 -0.101E+00 -0.938E-09  0.371E-08  0.754E-05  0.403E-05
  109  -0.338E-02  0.979E-01  0.546E-02 -0.946E-01 -0.938E-09  0.311E-08  0.668E-05  0.357E-05
  110  -0.318E-02  0.921E-01  0.512E-02 -0.889E-01 -0.938E-09  0.261E-08  0.591E-05  0.316E-05
  111  -0.300E-02  0.866E-01  0.481E-02 -0.836E-01 -0.938E-09  0.218E-08  0.523E-05  0.280E-05
